P1;P2;P3;P4;P5;P6;P7;S1
1992;6;7;186;8;0;1;H
0;6;6;104;8;0;0;H
1969;3;3;106;8;85;9;H
1996;6;7;262;8;0;2;F
1992;6;6;500;8;44;5;H
1993;6;7;319;8;0;1;H
0;6;3;219;8;0;2;H
0;3;7;177;1;0;1;H
0;6;6;320;1;0;1;F
0;5;4;137;1;0;6;H
2003;6;7;208;8;0;18;H
1986;6;7;613;8;35;5;H
1948;1;5;197;8;35;1;F
1998;6;7;145;8;0;1;H
0;2;3;125;8;36;70;H
1999;6;7;187;8;0;3;H
0;6;7;91;8;106;33;F
1971;6;7;153;8;0;7;F
1998;0;1;158;8;35;2;H
0;0;4;85;1;0;1;H
0;6;7;193;8;0;0;H
0;6;7;258;8;0;10;F
0;2;3;186;1;0;1;F
1993;5;7;179;8;35;6;F
0;2;0;0;1;0;1;H
0;1;4;91;8;0;0;F
0;6;5;125;1;0;0;H
1989;2;6;28;8;6;2;H
2009;6;7;43;8;35;50;H
0;4;5;207;8;69;15;H
0;6;6;0;8;2;0;H
0;6;7;143;1;0;5;H
1956;3;0;78;8;0;1;H
1961;3;5;306;8;0;192;H
1987;5;5;102;8;0;474;H
0;2;6;206;1;0;3;H
1971;2;5;297;8;0;14;H
0;4;7;91;1;0;0;H
1957;4;6;213;8;0;4133;F
0;6;7;103;8;0;155;H
0;6;4;91;1;35;1;H
0;4;5;43;1;0;1;H
1965;0;0;0;8;0;1;F
1989;3;3;123;8;0;1;F
1963;2;4;177;8;0;1;H
0;6;7;177;8;148;70;H
1959;5;7;177;8;0;7;F
0;6;7;87;1;0;2;H
2004;6;6;207;8;0;2;H
0;4;6;154;8;0;6;F
0;6;7;256;1;0;0;H
0;4;0;0;8;0;8;F
0;6;7;188;1;0;11;H
0;3;7;169;1;0;4;H
0;6;3;130;1;35;2;H
1982;6;7;264;8;35;1;H
0;6;7;126;8;0;1;F
0;6;7;228;8;0;9;H
0;5;7;146;1;0;1;H
0;2;2;244;1;0;0;H
1998;6;1;180;8;35;7;H
0;1;2;265;1;0;1;H
2019;6;7;99;8;0;0;H
1991;6;7;190;8;0;6;F
0;1;5;140;1;0;0;H
2019;0;0;0;8;35;0;H
0;6;6;220;8;0;17;H
2000;6;7;159;8;108;10;H
2019;6;7;259;8;0;6;H
1995;6;7;275;8;35;1;H
1995;6;6;204;8;0;0;H
0;6;7;259;8;0;6;H
0;6;4;94;1;0;0;H
2018;3;6;166;8;0;0;H
0;6;7;263;8;0;2;H
0;6;7;265;1;0;3;H
1980;6;7;155;8;35;1;H
1994;3;2;167;8;0;0;H
2019;6;7;159;8;0;4;F
0;6;7;155;8;0;6;H
2002;0;0;0;8;0;85;F
2000;1;0;128;8;0;0;H
0;6;7;155;8;35;3;F
2019;6;7;255;8;39;4;F
1992;5;7;277;8;70;2;H
1960;5;5;114;8;60;640;F
0;1;4;134;8;70;7;H
1967;6;4;303;8;0;2;H
0;2;3;176;1;35;1;H
1984;2;4;119;8;36;801;H
0;5;7;75;8;0;2;H
2003;6;5;123;8;5;47;H
1973;3;1;160;8;145;241;H
0;6;7;119;1;17;1;H
1943;3;6;162;8;289;869;H
0;6;7;238;1;83;367;H
1996;5;3;298;8;35;0;F
0;1;4;248;8;35;1;H
0;4;7;72;8;0;1;H
0;0;0;109;8;0;2;H
1998;5;5;117;8;70;3;H
0;3;4;496;8;0;1;F
1998;5;2;186;8;0;1;H
1970;6;7;65;8;5;1;F
0;6;7;115;1;0;20;H
1993;2;1;103;8;0;1;H
0;5;7;129;8;35;1;H
0;5;6;176;1;0;1;F
0;5;5;168;1;0;0;H
0;6;7;261;8;0;1;H
2003;6;6;231;8;0;0;H
1994;5;6;283;8;0;228;H
1996;2;3;332;8;35;0;H
2007;2;0;183;8;0;0;H
1993;4;4;205;8;0;2;F
2019;6;7;138;8;5;1;H
0;2;3;232;8;70;13;H
0;5;4;154;1;0;1;H
1994;6;7;405;8;35;1;F
0;6;7;194;1;35;0;F
0;6;6;251;8;0;0;H
2019;6;6;151;8;36;1;H
0;6;7;324;1;0;3;H
1995;6;7;216;8;70;1;F
0;1;4;141;1;0;0;H
0;6;7;168;1;0;1;H
2019;5;7;80;8;0;0;H
2005;6;7;102;8;0;0;H
1964;3;6;229;8;0;0;H
1991;6;7;457;8;0;1;H
0;5;5;301;8;0;3;H
2019;1;1;396;8;35;1;H
0;6;7;172;1;35;0;H
0;6;6;190;8;36;2;F
0;6;7;182;1;0;1;H
1980;4;5;76;8;0;3244;H
1988;4;2;166;8;1;0;H
2001;6;6;177;8;36;0;F
1987;6;0;0;8;0;362;H
0;3;2;123;8;0;11;H
1968;4;6;170;8;36;3;H
1962;6;6;205;8;0;2;F
0;5;6;53;8;0;1;F
2001;0;0;95;8;0;1;H
0;6;7;0;1;0;2;H
1974;5;6;108;8;35;2;F
0;4;7;85;8;0;0;H
1990;6;7;203;8;35;5;H
1976;6;7;132;8;0;1;F
0;6;7;110;1;86;75;H
1992;4;5;124;8;44;13;H
1980;6;7;348;8;70;640;H
0;2;6;96;1;205;18;H
0;5;5;91;1;35;10;H
1993;6;7;143;8;0;5;H
2000;5;7;130;8;0;349;H
0;5;7;142;8;35;0;H
1967;6;7;228;8;44;3;F
0;4;5;173;1;1;9;F
1989;2;1;227;8;60;9;H
2001;5;7;149;8;35;0;H
1951;3;6;93;8;38;4;H
1948;3;7;98;8;56;15;H
1980;6;7;251;8;35;6;H
1957;3;1;166;8;5;1;H
0;1;2;99;1;70;3;H
0;4;3;111;8;0;0;H
0;6;7;113;1;0;2;H
0;6;7;162;8;0;0;F
0;6;6;130;8;35;0;F
1970;6;7;281;8;97;15;H
2002;6;5;238;8;0;0;H
0;6;7;198;1;0;17;H
